lat	lon	date	type	area	source
31.5294	34.47974	07 Oct 2023	IDF attack	Jabalia	FA
31.53519	34.50938	07 Oct 2023	IDF attack	Jabalia	FA
31.53519	34.50938	07 Oct 2023	IDF attack	Jabalia	FA
31.54165	34.46629	08 Oct 2023	IDF attack	Jabalia	FA
31.54077	34.492	08 Oct 2023	IDF attack	Jabalia	FA
31.53996	34.46764	08 Oct 2023	IDF attack	Jabalia	FA
31.53195	34.50669	09 Oct 2023	IDF attack	Jabalia	FA
31.5314	34.49896	09 Oct 2023	IDF attack	Jabalia	FA
31.53211	34.4985	09 Oct 2023	IDF attack	Jabalia	FA
31.53178	34.49847	09 Oct 2023	IDF attack	Jabalia	FA
31.54079	34.48872	09 Oct 2023	IDF attack	Jabalia	FA
31.53871	34.49511	09 Oct 2023	IDF attack	Jabalia	FA
31.53793	34.4914	10 Oct 2023	IDF attack	Jabalia	FA
31.55302	34.46254	10 Oct 2023	IDF attack	Jabalia	FA
31.54952	34.46518	10 Oct 2023	IDF attack	Jabalia	FA
31.54252	34.48908	10 Oct 2023	IDF attack	Jabalia	FA
31.53386	34.50079	10 Oct 2023	IDF attack	Jabalia	FA
31.53171	34.50364	10 Oct 2023	IDF attack	Jabalia	FA
31.54416	34.46639	10 Oct 2023	IDF attack	Jabalia	FA
31.54416	34.46639	10 Oct 2023	IDF attack	Jabalia	FA
31.54091	34.46494	11 Oct 2023	IDF attack	Jabalia	FA
31.53881	34.4684	11 Oct 2023	IDF attack	Jabalia	FA
31.54299	34.47345	11 Oct 2023	IDF attack	Jabalia	FA
31.52495	34.49091	12 Oct 2023	IDF attack	Jabalia	FA
31.53527	34.49503	12 Oct 2023	IDF attack	Jabalia	FA
31.52639	34.48992	12 Oct 2023	IDF attack	Jabalia	FA
31.54216	34.4622	12 Oct 2023	IDF attack	Jabalia	FA
31.54478	34.45767	12 Oct 2023	IDF attack	Jabalia	FA
31.53385	34.50091	12 Oct 2023	IDF attack	Jabalia	FA
31.54156	34.47084	12 Oct 2023	IDF attack	Jabalia	FA
31.52729	34.48355	13 Oct 2023	IDF attack	Jabalia	FA
31.53311	34.50458	13 Oct 2023	IDF attack	Jabalia	FA
31.54174	34.4647	13 Oct 2023	IDF attack	Jabalia	FA
31.53777	34.49136	14 Oct 2023	IDF attack	Jabalia	FA
31.54904	34.46697	14 Oct 2023	IDF attack	Jabalia	FA
31.54079	34.48872	14 Oct 2023	IDF attack	Jabalia	FA
31.52819	34.487	14 Oct 2023	IDF attack	Jabalia	FA
31.54299	34.4943	14 Oct 2023	IDF attack	Jabalia	FA
31.53171	34.50364	14 Oct 2023	IDF attack	Jabalia	FA
31.53171	34.50364	15 Oct 2023	IDF attack	Jabalia	FA
31.54652	34.47869	15 Oct 2023	IDF attack	Jabalia	FA
31.53871	34.49511	15 Oct 2023	IDF attack	Jabalia	FA
31.53286	34.49584	15 Oct 2023	IDF attack	Jabalia	FA
31.52361	34.49417	16 Oct 2023	IDF attack	Jabalia	FA
31.53871	34.49511	16 Oct 2023	IDF attack	Jabalia	FA
