Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
Vis,2023,Design Patterns for Situated Visualization in Augmented Reality,10.1109/tvcg.2023.3327398,http://dx.doi.org/10.1109/TVCG.2023.3327398,1324,1335,J,Benjamin Lee;Michael Sedlmair;Dieter Schmalstieg,Benjamin Lee;Michael Sedlmair;Dieter Schmalstieg,"University of Stuttgart, Germany;University of Stuttgart, Germany;Graz University of Technology and University of Stuttgart, Austria",10.1109/tvcg.2021.3114835;10.1109/tvcg.2020.3030334;10.1109/tvcg.2020.3030450;10.1109/tvcg.2020.3030460;10.1109/tvcg.2022.3209386;10.1109/tvcg.2016.2598608;10.1109/tvcg.2007.70515,"Augmented reality,immersive analytics,situated visualization,design patterns,design space",,11,124,736,,
Vis,2023,ggdist: Visualizations of Distributions and Uncertainty in the Grammar of Graphics,10.1109/tvcg.2023.3327195,http://dx.doi.org/10.1109/TVCG.2023.3327195,414,424,J,Matthew Kay 0001,Matthew Kay,"Northwestern University, USA",10.1109/tvcg.2011.185;10.1109/tvcg.2014.2346298;10.1109/tvcg.2013.227;10.1109/tvcg.2018.2864909;10.1109/tvcg.2018.2865193;10.1109/tvcg.2014.2346455;10.1109/tvcg.2009.111;10.1109/tvcg.2019.2934281;10.1109/tvcg.2016.2599030;10.1109/tvcg.2011.227,"Uncertainty visualization,probability distributions,confidence distributions,grammar of graphics",,7,55,281,,
Vis,2023,PromptMagician: Interactive Prompt Engineering for Text-to-Image Creation,10.1109/tvcg.2023.3327168,http://dx.doi.org/10.1109/TVCG.2023.3327168,295,305,J,Yingchaojie Feng;Xingbo Wang 0001;Kamkwai Wong;Sijia Wang;Yuhong Lu;Minfeng Zhu;Baicheng Wang;Wei Chen 0001,Yingchaojie Feng;Xingbo Wang;Kam Kwai Wong;Sijia Wang;Yuhong Lu;Minfeng Zhu;Baicheng Wang;Wei Chen,"State Key Lab of CAD&CG, Zhejiang University, China;Hong Kong University of Science and Technology, China;Hong Kong University of Science and Technology, China;State Key Lab of CAD&CG, Zhejiang University, China;State Key Lab of CAD&CG, Zhejiang University, China;Zhejiang University, China;State Key Lab of CAD&CG, Zhejiang University, China;State Key Lab of CAD&CG, Zhejiang University, China",10.1109/tvcg.2022.3209425;10.1109/tvcg.2006.187;10.1109/tvcg.2023.3326586;10.1109/tvcg.2020.3030370;10.1109/tvcg.2021.3114876;10.1109/tvcg.2022.3209479;10.1109/tvcg.2021.3114794;10.1109/tvcg.2022.3209423;10.1109/vast.2006.261425;10.1109/tvcg.2019.2934656;10.1109/tvcg.2022.3209483;10.1109/tvcg.2022.3209391,"Prompt engineering,text-to-image generation,image visualization",,5,78,1065,,
Vis,2023,Challenges and Opportunities in Data Visualization Education: A Call to Action,10.1109/tvcg.2023.3327378,http://dx.doi.org/10.1109/TVCG.2023.3327378,649,660,J,Benjamin Bach;Mandy Keck;Fateme Rajabiyazdi;Tatiana Losev;Isabel Meirelles;Jason Dykes;Robert S. Laramee;Mashael AlKadi;Christina Stoiber;Samuel Huron;Charles Perin;Luiz Morais;Wolfgang Aigner;Doris Kosminsky;Magdalena Boucher;Søren Knudsen;Areti Manataki;Jan Aerts;Uta Hinrichs;Jonathan C. Roberts;Sheelagh Carpendale,Benjamin Bach;Mandy Keck;Fateme Rajabiyazdi;Tatiana Losev;Isabel Meirelles;Jason Dykes;Robert S. Laramee;Mashael AlKadi;Christina Stoiber;Samuel Huron;Charles Perin;Luiz Morais;Wolfgang Aigner;Doris Kosminsky;Magdalena Boucher;Søren Knudsen;Areti Manataki;Jan Aerts;Uta Hinrichs;Jonathan C. Roberts;Sheelagh Carpendale,"University of Edinburgh, United Kingdom;University of Applied Sciences Upper Austria, Austria;Carleton University, Canada;Simon Fraser University, Canada;OCAD University, Canada;City University London, United Kingdom;University of Nottingham, United Kingdom;University of Edinburgh, United Kingdom;University of Applied Sciences St. Pölten, Austria;Télécom Paris, France;University of Victoria, Canada;Universidade Federal de Pernambuco, Brazil;University of Applied Sciences St. Pölten, Austria;Universidade Federal de Rio de Janeiro, Brazil;University of Applied Sciences St. Pölten, Austria;University of Copenhagen, Denmark;University of Edinburgh, United Kingdom;Hasselt University, Belgium;University of Edinburgh, United Kingdom;Bangor University, United Kingdom;Simon Fraser University, Canada",10.1109/tvcg.2022.3209402;10.1109/tvcg.2022.3209487;10.1109/tvcg.2022.3209448;10.1109/tvcg.2019.2934804;10.1109/tvcg.2011.185;10.1109/tvcg.2014.2346984;10.1109/tvcg.2022.3209365;10.1109/tvcg.2019.2934790;10.1109/tvcg.2016.2599338;10.1109/visual.2004.78;10.1109/tvcg.2018.2865241;10.1109/tvcg.2016.2598920;10.1109/tvcg.2022.3209500;10.1109/tvcg.2007.70594;10.1109/tvcg.2018.2865240;10.1109/tvcg.2009.111;10.1109/tvcg.2021.3114959;10.1109/tvcg.2015.2467271;10.1109/tvcg.2019.2934534;10.1109/tvcg.2016.2598839;10.1109/tvcg.2012.213;10.1109/tvcg.2007.70515;10.1109/tvcg.2020.3030367,"Data Visualization,Education,Challenges",,5,138,563,,
Vis,2023,Affective Visualization Design: Leveraging the Emotional Impact of Data,10.1109/tvcg.2023.3327385,http://dx.doi.org/10.1109/TVCG.2023.3327385,1,11,J,Xingyu Lan;Yanqiu Wu 0001;Nan Cao 0001,Xingyu Lan;Yanqiu Wu;Nan Cao,"Fudan University, Research Group of Computational and AI Communication at Institute for Global Communications and Integrated Media, China;Intelligent Big Data Visualization Lab, Tongji University, China;Intelligent Big Data Visualization Lab, Tongji University, China",10.1109/tvcg.2021.3114775;10.1109/tvcg.2020.3030435;10.1109/tvcg.2022.3209500;10.1109/tvcg.2022.3209457;10.1109/tvcg.2020.3030472;10.1109/tvcg.2010.179;10.1109/tvcg.2022.3209409;10.1109/infvis.2004.8;10.1109/tvcg.2009.171;10.1109/tvcg.2021.3114774;10.1109/tvcg.2019.2934656,"Information Visualization,Affective Design,Visual Communication,User Experience,Storytelling",,4,95,848,BP,
Vis,2023,ARGUS: Visualization of AI-Assisted Task Guidance in AR,10.1109/tvcg.2023.3327396,http://dx.doi.org/10.1109/TVCG.2023.3327396,1313,1323,J,Sonia Castelo;João Rulff;Erin McGowan;Bea Steers;Guande Wu;Shaoyu Chen;Irán R. Román;Roque Lopez;Ethan Brewer;Chen Zhao;Jing Qian;Kyunghyun Cho;He He 0001;Qi Sun 0003;Huy T. Vo;Juan Pablo Bello;Michael Krone;Cláudio T. Silva,Sonia Castelo;Joao Rulff;Erin McGowan;Bea Steers;Guande Wu;Shaoyu Chen;Iran Roman;Roque Lopez;Ethan Brewer;Chen Zhao;Jing Qian;Kyunghyun Cho;He He;Qi Sun;Huy Vo;Juan Bello;Michael Krone;Claudio Silva,"New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York;New York University, New York",10.1109/tvcg.2017.2746018;10.1109/tvcg.2018.2865152;10.1109/tvcg.2018.2864499,"Data Models,Image and Video Data,Temporal Data,Application Motivated Visualization,AR/VR/Immersive",,4,58,467,HM,
Vis,2023,Let the Chart Spark: Embedding Semantic Context into Chart with Text-to-Image Generative Model,10.1109/tvcg.2023.3326913,http://dx.doi.org/10.1109/TVCG.2023.3326913,284,294,J,Shishi Xiao;Suizi Huang;Yue Lin;Yilin Ye;Wei Zeng 0004,Shishi Xiao;Suizi Huang;Yue Lin;Yilin Ye;Wei Zeng,"Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China",10.1109/tvcg.2012.197;10.1109/tvcg.2015.2467732;10.1109/tvcg.2013.234;10.1109/tvcg.2019.2934810;10.1109/tvcg.2019.2934785;10.1109/tvcg.2011.175;10.1109/tvcg.2016.2598620;10.1109/tvcg.2012.221;10.1109/tvcg.2020.3030448;10.1109/tvcg.2022.3209486;10.1109/tvcg.2022.3209357;10.1109/tvcg.2019.2934398;10.1109/tvcg.2022.3209447,"pictorial visualization,generative model,authoring tool",,4,61,465,,
Vis,2023,Unraveling the Design Space of Immersive Analytics: A Systematic Review,10.1109/tvcg.2023.3327368,http://dx.doi.org/10.1109/TVCG.2023.3327368,495,506,J,David Saffo;Sara Di Bartolomeo;Tarik Crnovrsanin;Laura South;Justin Raynor;Caglar Yildirim;Cody Dunne,David Saffo;Sara Di Bartolomeo;Tarik Crnovrsanin;Laura South;Justin Raynor;Caglar Yildirim;Cody Dunne,"Northeastern University, USA;Northeastern University, USA;Northeastern University, USA;Northeastern University, USA;Northeastern University, USA;Northeastern University, USA;Northeastern University, USA",10.1109/tvcg.2017.2745941;10.1109/tvcg.2021.3114835;10.1109/tvcg.2016.2599107;10.1109/tvcg.2019.2934415;10.1109/tvcg.2013.121;10.1109/tvcg.2019.2934395;10.1109/tvcg.2020.3030435;10.1109/tvcg.2020.3030450;10.1109/tvcg.2018.2865237;10.1109/tvcg.2020.3030460;10.1109/tvcg.2022.3209475;10.1109/tvcg.2021.3114844;10.1109/tvcg.2018.2865192,"Immersive Analytics,Systematic Review,Survey,Augmented Reality,Virtual Reality,Design Space",,3,94,476,,
Vis,2023,Data Player: Automatic Generation of Data Videos with Narration-Animation Interplay,10.1109/tvcg.2023.3327197,http://dx.doi.org/10.1109/TVCG.2023.3327197,109,119,J,Leixian Shen;Yizhi Zhang;Haidong Zhang;Yun Wang 0012,Leixian Shen;Yizhi Zhang;Haidong Zhang;Yun Wang,"The Hong Kong University of Science and Technology, China;Cornell University, USA;Microsoft Research Asia (MSRA), China;Microsoft Research Asia (MSRA), China",10.1109/tvcg.2016.2598647;10.1109/tvcg.2018.2865119;10.1109/tvcg.2007.70539;10.1109/tvcg.2020.3030360;10.1109/tvcg.2021.3114775;10.1109/tvcg.2021.3114802;10.1109/tvcg.2018.2865240;10.1109/tvcg.2010.179;10.1109/tvcg.2018.2865145;10.1109/tvcg.2022.3209357;10.1109/tvcg.2022.3209447;10.1109/tvcg.2022.3209369,"Visualization,Narration-animation interplay,Data video,Human-AI collaboration",,3,68,435,,
Vis,2023,MeTACAST: Target- and Context-Aware Spatial Selection in VR,10.1109/tvcg.2023.3326517,http://dx.doi.org/10.1109/TVCG.2023.3326517,480,494,J,Lixiang Zhao;Tobias Isenberg 0001;Fuqi Xie;Hai-Ning Liang;Lingyun Yu 0001,Lixiang Zhao;Tobias Isenberg;Fuqi Xie;Hai-Ning Liang;Lingyun Yu,"Xi'an Jiaotong-Liverpool University, China;Université Paris-Saclay, CNRS, Inria, LISN, France;Xi'an Jiaotong-Liverpool University, China;Xi'an Jiaotong-Liverpool University, China;Xi'an Jiaotong-Liverpool University, China",10.1109/tvcg.2009.112;10.1109/tvcg.2019.2934332;10.1109/tvcg.2018.2865191;10.1109/tvcg.2013.121;10.1109/tvcg.2019.2934395;10.1109/tvcg.2020.3030363;10.1109/tvcg.2012.292;10.1109/infvis.1996.559216;10.1109/tvcg.2012.217;10.1109/tvcg.2015.2467202,"Spatial selection,immersive analytics,virtual reality (VR),target-aware and context-aware interaction for visualization",,3,65,363,,X
