Conference,Year,Title,DOI,AuthorNames-Deduped,Award,Accessible,Early,Resources
Vis,2024,"""I Came Across a Junk"": Understanding Design Flaws of Data Visualization from the Public's Perspective",10.1109/TVCG.2024.3456341,Xingyu Lan;Yu Liu,HM,,TRUE,V;O
Vis,2024,"""It's a Good Idea to Put It Into Words"": Writing 'Rudders' in the Initial Stages of Visualization Design",10.1109/TVCG.2024.3456324,Chase Stokes;Clara Hu;Marti Hearst,,,TRUE,P;V;O
Vis,2024,2D Embeddings of Multi-dimensional Partitionings,10.1109/TVCG.2024.3456394,Marina Evers;Lars Linsen,,TRUE,TRUE,P;V;O
Vis,2024,A Deixis-Centered Approach for Documenting Remote Synchronous Communication around Data Visualizations,10.1109/TVCG.2024.3456351,Chang Han;Katherine E. Isaacs,,TRUE,TRUE,P;V;O
Vis,2024,A General Framework for Comparing Embedding Visualizations Across Class-Label Hierarchies,10.1109/TVCG.2024.3456370,Trevor Manz;Fritz Lekschas;Evan Greene;Greg Finak;Nils Gehlenborg,,TRUE,TRUE,P;V;O
Vis,2024,A Large-Scale Sensitivity Analysis on Latent Embeddings and Dimensionality Reductions for Text Spatializations,10.1109/TVCG.2024.3456308,Daniel Atzberger;Tim Cech;Willy Scheibel;Jürgen Döllner;Michael Behrisch;Tobias Schreck,,,TRUE,P;V;O
Vis,2024,A Multi-Level Task Framework for Event Sequence Analysis,10.1109/TVCG.2024.3456510,Kazi Tasnim Zinat;Saimadhav Naga Sakhamuri;Aaron Sun Chen;Zhicheng Liu,,,TRUE,V;O
Vis,2024,A Practical Solver for Scalar Data Topological Simplification,10.1109/TVCG.2024.3456345,Mohamed KISSI;Mathieu Pont;Joshua A Levine;Julien Tierny,,,TRUE,P;V;O
Vis,2024,A Qualitative Analysis of Common Practices in Annotations: A Taxonomy and Design Space,10.1109/TVCG.2024.3456359,Md Dilshadur Rahman;Ghulam Jilani Quadri;Bhavana Doppalapudi;Danielle Albers Szafir;Paul Rosen,,,TRUE,P;V;O
Vis,2024,"Aardvark: Composite Visualizations of Trees, Time-Series, and Images",10.1109/TVCG.2024.3456193,Devin Lange;Robert L Judson-Torres;Thomas A Zangle;Alexander Lex,BP,TRUE,TRUE,PW;P;V;C;O
Vis,2024,AdaMotif: Graph Simplification via Adaptive Motif Design,10.1109/TVCG.2024.3456321,Hong Zhou;Peifeng Lai;Zhida Sun;Xiangyuan Chen;Yang Chen;Huisi Wu;Yong WANG,,,TRUE,V;O
Vis,2024,Advancing Multimodal Large Language Models in Chart Question Answering with Visualization-Referenced Instruction Tuning,10.1109/TVCG.2024.3456159,Xingchen Zeng;Haichuan Lin;Yilin Ye;Wei Zeng,,,TRUE,P;V;O
Vis,2024,AdversaFlow: Visual Red Teaming for Large Language Models with Multi-Level Adversarial Flow,10.1109/TVCG.2024.3456150,Dazhen Deng;Chuhan Zhang;Huawei Zheng;Yuwen Pu;Shouling Ji;Yingcai Wu,HM,TRUE,TRUE,V;O
Vis,2024,An Empirical Evaluation of the GPT-4 Multimodal Language Model on Visualization Literacy Tasks,10.1109/TVCG.2024.3456155,Alexander Bendeck;John Stasko,,TRUE,TRUE,V;O
Vis,2024,Attention-Aware Visualization: Tracking and Responding to User Perception Over Time,10.1109/TVCG.2024.3456300,Arvind Srinivasan;Johannes Ellemose;Peter W. S. Butcher;Panagiotis D. Ritsos;Niklas Elmqvist,,,TRUE,P;V;O
Vis,2024,BEMTrace: Visualization-driven approach for deriving Building Energy Models from BIM,10.1109/TVCG.2024.3456315,Andreas Walch;Attila Szabo;Harald Steinlechner;Thomas Ortner;Eduard Gröller;Johanna Schmidt,,TRUE,TRUE,P;V;O
Vis,2024,Beware of Validation by Eye: Visual Validation of Linear Trends in Scatterplots,10.1109/TVCG.2024.3456305,Daniel Braun;Remco Chang;Michael Gleicher;Tatiana von Landesberger,,,TRUE,P;V;O
Vis,2024,Beyond Correlation: Incorporating Counterfactual Guidance to Better Support Exploratory Visual Analysis,10.1109/TVCG.2024.3456369,Arran Zeyu Wang;David Borland;David Gotz,HM,,TRUE,V;O
Vis,2024,Blowing Seeds across Gardens: Visualizing Implicit Propagation of Cross-Platform Social Media Posts,10.1109/TVCG.2024.3456181,Jianing Yin;Hanze Jia;Buwei Zhou;Tan Tang;Lu Ying;Shuainan Ye;Tai-Quan Peng;Yingcai Wu,,,TRUE,V;O
Vis,2024,CataAnno: An Ancient Catalog Annotator for Annotation Cleaning by Recommendation,10.1109/TVCG.2024.3456379,Hanning Shao;Xiaoru Yuan,HM,,TRUE,V;O
Vis,2024,Causal Priors and Their Influence on Judgements of Causality in Visualized Data,10.1109/TVCG.2024.3456381,Arran Zeyu Wang;David Borland;Tabitha C. Peck;Wenyuan Wang;David Gotz,,,TRUE,V;O
Vis,2024,Cell2Cell: Explorative Cell Interaction Analysis in Multi-Volumetric Tissue Data,10.1109/TVCG.2024.3456406,Eric Mörth;Kevin Sidak;Zoltan Maliga;Torsten Möller;Nils Gehlenborg;Peter Sorger;Hanspeter Pfister;Johanna Beyer;Robert Krüger,,,TRUE,P;V;O
Vis,2024,Charting EDA: Characterizing Interactive Visualization Use in Computational Notebooks with a Mixed-Methods Formalism,10.1109/TVCG.2024.3456217,Dylan Wootton;Amy Rae Fox;Evan Peck;Arvind Satyanarayan,,TRUE,TRUE,V;O
Vis,2024,CompositingVis: Exploring Interactions for Creating Composite Visualizations in Immersive Environments,10.1109/TVCG.2024.3456210,Qian Zhu;Tao Lu;Shunan Guo;Xiaojuan Ma;Yalong Yang,,TRUE,TRUE,P;V;O
Vis,2024,Compress and Compare: Interactively Evaluating Efficiency and Behavior Across ML Model Compression Experiments,10.1109/TVCG.2024.3456371,Angie Boggust;Venkatesh Sivaraman;Yannick Assogba;Donghao Ren;Dominik Moritz;Fred Hohman,,TRUE,TRUE,P;V;O
Vis,2024,CSLens: Towards Better Deploying Charging Stations via Visual Analytics —— A Coupled Networks Perspective,10.1109/TVCG.2024.3456392,Yutian Zhang;Liwen Xu;Shaocong Tao;Quanxue Guan;Quan Li;Haipeng Zeng,,,TRUE,V;O
Vis,2024,Curio: A Dataflow-Based Framework for Collaborative Urban Visual Analytics,10.1109/TVCG.2024.3456353,Gustavo Moreira;Maryam Hosseini;Carolina Veiga;Lucas Alexandre;Nicola Colaninno;Daniel de Oliveira;Nivan Ferreira;Marcos Lage;Fabio Miranda,,,TRUE,P;V;O
Vis,2024,D-Tour: Semi-Automatic Generation of Interactive Guided Tours for Visualization Dashboard Onboarding,10.1109/TVCG.2024.3456347,Vaishali Dhanoa;Andreas Hinterreiter;Vanessa Fediuk;Niklas Elmqvist;Eduard Gröller;Marc Streit,,,TRUE,P;V;O
